Timestamp,  HWP2 Pump Speed Status,  Building HHW Loop HHW Return Temp,  Building HHW Loop HHW Supply Flow,  Building HHW Loop HHW Supply Temp,  AHU1A Cooling Valve Cmd,  AHU1A Heating Valve Cmd,  AHU1A Outside Air Temp,  AHU1A Return Air Fan Command (C),  AHU1A Supply Air Fan Command (C), AHU1B Cooling Valve Cmd, AHU1B Heating Valve Cmd, AHU1B Outside Air Temp, AHU1B Return Air Fan Command (C), AHU1B Supply Air Fan Command (C), AHU2A Cooling Valve Cmd, AHU2A Heating Valve Cmd, AHU2A Outside Air Temp, AHU2A Return Air Fan Command (C), AHU2A Supply Air Fan Command (C), AHU2B Cooling Valve Cmd, AHU2B Heating Valve Cmd, AHU2B Outside Air Temp, AHU2B Return Air Fan Command (C), AHU2B Supply Air Fan Command (C), AHU3A Cooling Valve Cmd, AHU3A Heating Valve Cmd, AHU3A Outside Air Temp, AHU3A Return Air Fan Command (C), AHU3A Supply Air Fan Command (C), AHU3B Cooling Valve Cmd, AHU3B Heating Valve Cmd, AHU3B Outside Air Temp, AHU3B Return Air Fan Command (C), AHU3B Supply Air Fan Command (C), AHU4A Cooling Valve Cmd, AHU4A Heating Valve Cmd, AHU4A Outside Air Temp, AHU4A Return Air Fan Command (C), AHU4A Supply Air Fan Command (C), AHU4B Cooling Valve Cmd, AHU4B Heating Valve Cmd, AHU4B Outside Air Temp, AHU4B Return Air Fan Command (C), AHU4B Supply Air Fan Command (C), AHU5A Cooling Valve Cmd, AHU5A Heating Valve Cmd, AHU5A Outside Air Temp, AHU5A Return Air Fan Command (C), AHU5A Supply Air Fan Command (C), AHU5B Cooling Valve Cmd, AHU5B Heating Valve Cmd, AHU5B Outside Air Temp, AHU5B Return Air Fan Command (C), AHU5B Supply Air Fan Command (C), AHU6A Cooling Valve Cmd, AHU6A Heating Valve Cmd, AHU6A Outside Air Temp, AHU6A Return Air Fan Command (C), AHU6A Supply Air Fan Command (C), CHWP1 Pump Speed Status, CHWP2 Pump Speed Status, HWP1 Pump Speed Status, N4-CHW-MTR: Main Usage (kBTU), N4-HHW-MTR: Main Usage (kBTU), Tertiary CHW Loop CHW Return Temp, Tertiary CHW Loop CHW Supply Flow, Tertiary CHW Loop CHW Supply Temp, Total Electric Demand (C), Total Electric Usage (C), Total Natural Gas Usage (C)
2019-08-08 11:45:15,0.04999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.51000213623047,,,,,,,,
2021-12-31 23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,32.0,
2021-12-31 23:45:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.690000534057617,0.0,55.86800003051758,True,True,12.15999984741211,0.0,55.34600067138672,True,True,0.0,0.0,56.15599822998047,True,True,,,,,,,,,,,,,,,,,,,,,
2021-12-31 23:45:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3799991607666,0.0,55.29199981689453,True,True,36.15999984741211,0.0,55.45399856567383,True,True,,,,,,,,,,,
2021-12-31 23:45:12,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31 23:45:13,,,,,0.0,,54.518001556396484,True,True,41.27000045776367,0.0,61.01599884033203,True,True,32.68000030517578,0.0,56.7140007019043,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31 23:45:14,,,,,,,,,,,,,,,,,,,,27.489999771118164,0.0,59.1619987487793,True,True,22.969999313354492,0.0,54.55400085449219,True,True,,0.0,54.481998443603516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31 23:45:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,56.349998474121094,-0.20999999344348907,,,,41.84600067138672,210.0019989013672,42.40399932861328,,,
2022-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,32.0,
2022-01-01 00:00:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.450000762939453,0.0,55.5620002746582,True,True,0.0,0.0,54.96799850463867,True,True,0.0,0.0,56.066001892089844,True,True,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.760000228881836,0.0,54.93199920654297,True,True,35.56999969482422,0.0,54.78799819946289,True,True,,,,,,,,,,,
2022-01-01 00:00:14,,,,,0.0,0.0,54.78799819946289,True,True,40.84000015258789,0.0,61.141998291015625,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:15,,,,,,,,,,,,,,,32.0099983215332,,56.821998596191406,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:16,,,,,,,,,,,,,,,,,,,,26.59000015258789,,59.1619987487793,True,True,20.299999237060547,0.0,54.40999984741211,True,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.240000009536743,,54.22999954223633,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,55.88999938964844,-0.2199999988079071,,,,41.79199981689453,210.0019989013672,42.36800003051758,,,
2022-01-01 00:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,32.0,
2022-01-01 00:15:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.329999923706055,0.0,55.16600036621094,True,True,,0.0,54.84199905395508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
